# Core glossary: word <TAB> kazakh <TAB> simple english <TAB> pos (optional)
#
# Ordered by how often the word appears in the six books, so the top of this
# file is what a reader meets on almost every page. Inflected forms are only
# listed when the guesser in dict.js cannot get back to the base (went, took,
# children) or when the form means something of its own (I'm, don't).
#
# Anything not here is fetched online once and cached. To see what is worth
# adding next:  python3 tools/build_dict.py --missing 200
#
# Rebuild after editing:  python3 tools/build_dict.py

the	бұл, осы (белгілі зат)	points to a thing you already know	article
a	бір (белгісіз зат)	one, any one thing	article
an	бір (дауыстыдан бұрын)	"a" before a, e, i, o, u	article
to	-ға, -ге; етістік алдында	shows where you go, or starts a verb	prep
i	мен	the person speaking	pron
you	сен, сіз	the person I am talking to	pron
in	ішінде	inside something	prep
of	-ның, -нің	belonging to, part of	prep
is	-дір (ол)	"be" for he, she, it	verb
and	және	joins two things	conj
it	ол (зат)	a thing, not a person	pron
was	еді, болды	past of "is"	verb
have	бар, ие болу	to own or hold something	verb
for	үшін	shows who or what gets it	prep
on	үстінде	touching the top of something	prep
that	ол, анау; деген	points to a farther thing	pron
are	-сыз, -сыңдар	"be" for you, we, they	verb
be	болу	to exist, to be something	verb
or	немесе	shows a choice	conj
with	бірге, -мен	together, using	prep
do	істеу, жасау	to make an action happen	verb
he	ол (ер адам)	a man or boy	pron
we	біз	me and other people	pron
at	-да, -де (нүкте)	in one exact place or time	prep
she	ол (әйел адам)	a woman or girl	pron
my	менің	belonging to me	det
if	егер	when this happens, then	conj
but	бірақ	shows something different	conj
what	не	asks about a thing	pron
very	өте	a lot, to a high degree	adv
they	олар	those people or things	pron
as	ретінде, сияқты	in the same way	conj
not	емес, жоқ	says something is false	adv
your	сенің, сіздің	belonging to you	det
from	-дан, -ден	where it starts	prep
her	оның (әйел)	belonging to her	det
had	болған, болды	past of "have"	verb
so	сондықтан, сонша	for that reason	conj
this	бұл	the thing near me	pron
me	мені, маған	the speaker, after a verb	pron
when	қашан, кезде	at what time	conj
been	болған	past part of "be"	verb
sentence	сөйлем	words that make a full idea	noun
don't	жоқ, істеме	short for "do not"	verb
there	сонда, анда	in that place	adv
has	бар (ол)	"have" for he, she, it	verb
go	бару, кету	to move to another place	verb
complete	толтыру; толық	to finish or fill in	verb
about	туралы; шамамен	on this topic, or nearly	prep
can	алу, мүмкін	to be able to	verb
it's	бұл — ...	short for "it is"	verb
i'm	мен ...-мын	short for "I am"	verb
no	жоқ	the opposite of yes	adv
get	алу; болу	to receive or become	verb
more	көбірек	a bigger amount	det
like	ұнату; сияқты	to enjoy, or "similar to"	verb
up	жоғары	to a higher place	adv
by	арқылы, жанында	who did it, or next to	prep
were	едік, едіңдер	past of "are"	verb
time	уақыт	minutes, hours, days	noun
all	бәрі, барлық	every one, the whole	det
some	кейбір, біраз	a few, not all	det
these	бұлар	the things near me	pron
will	-мақ (болашақ)	shows the future	verb
one	бір	the number 1	num
word	сөз	letters that mean something	noun
out	сыртқа	not inside	adv
his	оның (ер)	belonging to him	det
would	еді (шартты)	shows something not real yet	verb
use	пайдалану	to do a job with a thing	verb
going	бара жатқан	moving somewhere now	verb
got	алды	past of "get"	verb
them	оларды	those people, after a verb	pron
which	қайсы	asks you to choose	pron
how	қалай	asks about the way	adv
work	жұмыс; істеу	a job, or to do a job	noun
correct	дұрыс	with no mistakes	adj
didn't	істемеді	short for "did not"	verb
did	істеді	past of "do"	verb
know	білу	to have something in your head	verb
over	үстінен; аяқталды	above, or finished	prep
possible	мүмкін	it can happen	adj
now	қазір	at this moment	adv
think	ойлау	to use your mind	verb
new	жаңа	made a short time ago	adj
who	кім	asks about a person	pron
any	кез келген	one, it does not matter which	det
could	алар еді	past of "can"	verb
good	жақсы	better than bad	adj
much	көп (саналмайтын)	a large amount	det
put	қою, салу	to move a thing to a place	verb
see	көру	to use your eyes	verb
lot	көп	a large number of things	noun
two	екі	the number 2	num
where	қайда	asks about a place	adv
last	соңғы; созылу	final, or the one before	adj
using	пайдаланып	doing a job with a thing	verb
just	жаңа ғана; тек	a moment ago, or only	adv
should	керек	the right thing to do	verb
i've	менде бар	short for "I have"	verb
car	көлік, машина	you drive it on roads	noun
want	қалау	to wish to have	verb
